,TL,TM,TR,ML,MM,MR,BL,BM,BR,class
0,1,1,1,1,-1,-1,1,-1,-1,
1,1,1,1,1,-1,-1,-1,1,-1,
2,1,1,1,1,-1,-1,-1,-1,1,
3,1,1,1,1,-1,-1,-1,0,0,
4,1,1,1,1,-1,-1,0,-1,0,
5,1,1,1,1,-1,-1,0,0,-1,
6,1,1,1,1,-1,0,-1,-1,0,
7,1,1,1,1,-1,0,-1,0,-1,
8,1,1,1,1,-1,0,0,-1,-1,
9,1,1,1,1,0,-1,-1,-1,0,
10,1,1,1,1,0,-1,-1,0,-1,
11,1,1,1,1,0,-1,0,-1,-1,
12,1,1,1,-1,1,-1,1,-1,-1,
13,1,1,1,-1,1,-1,-1,1,-1,
14,1,1,1,-1,1,-1,-1,-1,1,
15,1,1,1,-1,1,-1,-1,0,0,
16,1,1,1,-1,1,-1,0,-1,0,
17,1,1,1,-1,1,-1,0,0,-1,
18,1,1,1,-1,1,0,-1,-1,0,
19,1,1,1,-1,1,0,-1,0,-1,
20,1,1,1,-1,1,0,0,-1,-1,
21,1,1,1,-1,-1,1,1,-1,-1,
22,1,1,1,-1,-1,1,-1,1,-1,
23,1,1,1,-1,-1,1,-1,-1,1,
24,1,1,1,-1,-1,1,-1,0,0,
25,1,1,1,-1,-1,1,0,-1,0,
26,1,1,1,-1,-1,1,0,0,-1,
27,1,1,1,-1,-1,0,1,-1,0,
28,1,1,1,-1,-1,0,1,0,-1,
29,1,1,1,-1,-1,0,-1,1,0,
30,1,1,1,-1,-1,0,-1,0,1,
31,1,1,1,-1,-1,0,0,1,-1,
32,1,1,1,-1,-1,0,0,-1,1,
33,1,1,1,-1,-1,0,0,0,0,
34,1,1,1,-1,0,1,-1,-1,0,
35,1,1,1,-1,0,1,-1,0,-1,
36,1,1,1,-1,0,1,0,-1,-1,
37,1,1,1,-1,0,-1,1,-1,0,
38,1,1,1,-1,0,-1,1,0,-1,
39,1,1,1,-1,0,-1,-1,1,0,
40,1,1,1,-1,0,-1,-1,0,1,
41,1,1,1,-1,0,-1,0,1,-1,
42,1,1,1,-1,0,-1,0,-1,1,
43,1,1,1,-1,0,-1,0,0,0,
44,1,1,1,-1,0,0,1,-1,-1,
45,1,1,1,-1,0,0,-1,1,-1,
46,1,1,1,-1,0,0,-1,-1,1,
47,1,1,1,-1,0,0,-1,0,0,
48,1,1,1,-1,0,0,0,-1,0,
49,1,1,1,-1,0,0,0,0,-1,
50,1,1,1,0,1,-1,-1,-1,0,
51,1,1,1,0,1,-1,-1,0,-1,
52,1,1,1,0,1,-1,0,-1,-1,
53,1,1,1,0,-1,1,-1,-1,0,
54,1,1,1,0,-1,1,-1,0,-1,
55,1,1,1,0,-1,1,0,-1,-1,
56,1,1,1,0,-1,-1,1,-1,0,
57,1,1,1,0,-1,-1,1,0,-1,
58,1,1,1,0,-1,-1,-1,1,0,
59,1,1,1,0,-1,-1,-1,0,1,
60,1,1,1,0,-1,-1,0,1,-1,
61,1,1,1,0,-1,-1,0,-1,1,
62,1,1,1,0,-1,-1,0,0,0,
63,1,1,1,0,-1,0,1,-1,-1,
64,1,1,1,0,-1,0,-1,1,-1,
65,1,1,1,0,-1,0,-1,-1,1,
